"venue","update date","vintage","size","price","wine name"
"Fool","2023-11-02","NV","-","190","Christophe Mignon, Adn De Meunier ‘Brut-Nature’, Festigny, Vallée De La Marne"
"Fool","2023-11-02","2013","-","200","Salima Et Alain Cordeuil, Clair Obscur ‘Brut-Nature’, Noé-Les-Mallets, Côte Des Bar"
"Fool","2023-11-02","NV","-","205","Agrapart, Les 7 Crus ‘Brut’, Avize, Côte Des Blancs"
"Fool","2023-11-02","2012","-","205","Bonnet-Ponson, Les Vignes Dieu Bdb 1Er Cru ‘Extrabrut’, Chamery, Montagne De Reims"
"Fool","2023-11-02","NV","-","205","Domaine De La Borderie, Trois Contrées 'Brut', Bar-Sur-Seine, Côte Des Bar"
"Fool","2023-11-02","NV","-","210","Laherte Frères, Blanc De Blancs ‘Brut-Nature’, Chavot, Côte Des Blancs"
"Fool","2023-11-02","NV","-","210","Yann Alexandre, Brut Noir ‘Brut’, Courmas, Montagne De Reims"
"Fool","2023-11-02","NV","-","215","Alexandre Filaine, Cuvée Spéciale 'Brut', Damery, Vallée De La Marne"
"Fool","2023-11-02","2014","-","220","Pascal Henin, L'Appel De La Forêt ‘Extra-Brut’, Aÿ, Vallée De La Marne"
"Fool","2023-11-02","NV","-","230","Laculle Frères, Val Moignot Bertil Andersson ‘Extra-Brut’, Meurville, Côte Des Bar"
"Fool","2023-11-02","2016","-","245","Pauline Collin Bérêche, Vieilles Vignes 1Er Cru ‘Extra-Brut’, Ludes, Montagne De Reims"
"Fool","2023-11-02","NV","-","245","Olivier Horiot, Soléra ‘Brut-Nature’, Les Riceys, Côte Des Bar"
"Fool","2023-11-02","NV","-","270","Jacques Lassaigne, Blanc De Blancs ‘Demi-Sec’, Montguex, Côtes Des Bar"
"Fool","2023-11-02","2013","-","280","Aubry, Le Nombre D’Or Blanc Des Blancs ‘Brut’, Jouy-Lès-Reims, Montagne De Reims"
"Fool","2023-11-02","2017","-","280","Benoît Marguet, Grand Cru ‘Brut-Nature’, Ambonnay, Montagne De Reims"
"Fool","2023-11-02","NV","-","295","Roger Coulon, Esprit De Vrigny 1Er Cru ‘Brut-Nature’, Vrigny, Montagne De Reims"
"Fool","2023-11-02","2016","-","520","David Léclapart, L'Aphrodisiaque ‘Brut-Nature’, Trépail, Montagne De Reims"
"Fool","2023-11-02","NV","-","600","Ulysse Collin, Le Jardin D'Ulysse ‘Extra-Brut’, Congy, Côte De Sézanne"
"Fool","2023-11-02","2008","-","750","Emmanuel Brochet, Selected 'Extra-Brut', Villers-Aux-Nœuds, Montagne De Reims"
"Fool","2023-11-02","NV","-","210","Jean Josselin, Audace Rosé 'Extra-Brut', Gyé-Sur-Seine, Côte Des Bar"
"Fool","2023-11-02","NV","-","215","Étienne Calsac, Rosé De Craie 1Er Cru 'Extra-Brut', Avize, Côte Des Blancs"
"Fool","2023-11-02","2015","-","245","Francis Boulard, Rosé De Saignée ‘Extra-Brut’, Cormicy, Montagne De Reims"
"Fool","2023-11-02","NV","-","265","Benoît Dehu, Initiation Rosé ‘Brut-Nature’, Fossoy, Vallée De La Marne"
"Fool","2023-11-02","NV","-","400","Ulysse Collin, Rosé De Saignée Les Maillons ‘Extra-Brut’, Congy, Côte De Sézanne"
"Fool","2023-11-02","NV","-","200","Pierre Baillette, Le Village 1Er Cru ‘Brut’"
"Fool","2023-11-02","NV","-","240","Pierre Baillette, Le Mont Ferré 1Er Cru Blanc De Blancs ‘Extra-Brut’"
"Fool","2023-11-02","NV","-","270","Pierre Baillette, Cœur De Craie: Verzenay Grand Cru Blanc De Noirs ‘Extra-Brut’"
"Fool","2023-11-02","NV","-","240","Pierre Baillette, Les Bulles Roses 1Er Cru ‘Extra Brut’"
"Fool","2023-11-02","-","-","3","The Grower-Producers Of Champagne, Sparkling"
"Fool","2023-11-02","2015","-","170","Ridgeview, Blanc De Noirs ‘Brut’, Sussex, England"
"Fool","2023-11-02","2018","-","220","Gusbourne, Blanc De Blancs ‘Brut’, Kent, England"
"Fool","2023-11-02","2010","-","260","Nyetimber, Blanc De Blancs ‘Brut’, Sussex, England"
"Fool","2023-11-02","2015","-","380","Sugrue, Cuvée Boz ‘Brut’, Sussex, England"
"Fool","2023-11-02","NV","-","160","Wiston, Rosé ‘Brut’, Sussex, England"
"Fool","2023-11-02","NV","-","250","Sugrue, Ex Machina Rosé ‘Brut’, Sussex, England"
"Fool","2023-11-02","2015","-","170","J.J. Becker, Eltviller Rheinberg Sekt ‘Extra-Brut’, Rheingau, Germany"
"Fool","2023-11-02","2016","-","190","Dönnhoff, Pinot ‘Brut’, Nahe, Germany"
"Fool","2023-11-02","2008","-","310","Raumland, Grande Réserve ‘Brut’, Rheinhessen, Germany"
"Fool","2023-11-02","1992","-","320","Peter Lauer, Réserve ‘Brut’, Mosel, Germany"
"Fool","2023-11-02","2013","-","200","Rebholz, R Π No. Rosé 'Extra-Brut', Pfalz, Germany"
"Fool","2023-11-02","2014","-","265","J.B. Becker, Rosé ‘Brut’, Rheingau, Germany"
"Fool","2023-11-02","-","-","5","Sekt-Ond To None, Sparkling"
"Fool","2023-11-02","2020","-","105","Ca' Dei Zago, Prosecco Col Fondo, Valdobbiane, Italy"
"Fool","2023-11-02","NV","-","120","Claus Preisinger, Ancestral, Burgenland, Austria"
"Fool","2023-11-02","2022","-","130","Testalonga, I Am The Ninja, Swartland, South Africa"
"Fool","2023-11-02","2020","-","100","Chevalerie, Bulle De Fort, Bourgueil, France"
"Fool","2023-11-02","2022","-","110","Vin De Lagamba, Frauenpower, Rheinhessen, Germany"
"Fool","2023-11-02","-","-","7","Au Naturel, Sparkling"
"Fool","2023-11-02","2020","-","110","Markus Molitor, Alte Reben Saar, Mosel, Germany"
"Fool","2023-11-02","2020","-","150","August Kesseler, Rüdesheimer Bischofsberg, Rheingau, Germany"
"Fool","2023-11-02","2016","-","160","Rebholz, Vom Buntsandstein Trocken, Pfalz, Germany"
"Fool","2023-11-02","2021","-","170","Thörle, Probstey Silvaner, Rheinhessen, Germany"
"Fool","2023-11-02","2021","-","205","Seckinger, Kappellenberg, Pfalz, Germany"
"Fool","2023-11-02","2020","-","220","Peter Jakob Kühn, Doosberg Grosses Gewächs, Rheingau, Germany"
"Fool","2023-11-02","2009","-","420","Dönnhoff, Hermannshohle Grosses Gewächs, Nahe, Germany"
"Fool","2023-11-02","-","-","9","Not Just Dry Humor, White"
"Fool","2023-11-02","2022","-","90","Le Fay D’Homme, Muscadet Sèvre-Et-Maine, Loire Valley, France"
"Fool","2023-11-02","2021","-","90","Quinta Do Ermízio, Glug Glug Vinho Verde, Minho, Portugal"
"Fool","2023-11-02","2020","-","115","Txomin Etxaniz, Txakoli, Getaria, Spain"
"Fool","2023-11-02","2021","-","120","Cota 45, Ube Paganilla, Sanlúcar De Barrameda, Spain"
"Fool","2023-11-02","2021","-","150","Rodrigo Méndez, Sálvora, Rías Baixas, Spain"
"Fool","2023-11-02","2017","-","180","Antoine Arena, Biancu Gentile, Corsica, France"
