"venue","update date","vintage","size","price","wine name"
"Granen","2023-09-29","2019","500","395","Skepparps Vingård, Grand Prix, Solaris, G"
"Granen","2023-09-29","2006","1500","7200","Louis Roederer, Cristal, G"
"Granen","2023-09-29","2015","1500","2600","Pol Roger, Brut, 60B"
"Granen","2023-09-29","2012","1500","5200","Pol Roger, Cuvée Sir Winston Churchill, G"
"Granen","2023-09-29","2002","1500","6900","Pol Roger, Cuvée Sir Winston Churchill, G"
"Granen","2023-09-29","1999","1500","16500","Salon, Blanc De Blancs"
"Granen","2023-09-29","2008","1500","49000","Salon, Blanc De Blancs"
"Granen","2023-09-29","2018","125","1600","Domaine François Raveneau, Chablis"
"Granen","2023-09-29","2016","125","1750","Domaine François Raveneau, Chablis"
"Granen","2023-09-29","2019","125","1950","Domaine François Raveneau, Chablis 1Er Cru, Montée De Tonnerre"
"Granen","2023-09-29","2017","125","2200","Domaine François Raveneau, Chablis 1Er Cru, Butteaux"
"Granen","2023-09-29","2009","125","3300","Domaine François Raveneau, Chablis 1Er Cru, Butteaux"
"Granen","2023-09-29","2009","125","3200","Domaine François Raveneau, Chablis 1Er Cru, Forêt"
"Granen","2023-09-29","2011","125","3000","Domaine François Raveneau, Chablis 1Er Cru, Chapelot"
"Granen","2023-09-29","2019","125","2850","Domaine François Raveneau, Chablis Grand Cru, Blanchot"
"Granen","2023-09-29","2019","125","2850","Domaine François Raveneau, Chablis Grand Cru, Clos"
"Granen","2023-09-29","2017","125","1300","Domaine Vincent Dauvissat, Petit Chablis"
"Granen","2023-09-29","2015","125","1400","Domaine Vincent Dauvissat, Chablis"
"Granen","2023-09-29","2015","125","1850","Domaine Vincent Dauvissat, Chablis 1Er Cru, La Forest"
"Granen","2023-09-29","2013","125","1850","Domaine Vincent Dauvissat, Chablis 1Er Cru, La Forest"
"Granen","2023-09-29","2011","125","1750","Domaine Vincent Dauvissat, Chablis 1Er Cru, La Forest"
"Granen","2023-09-29","2011","125","1950","Domaine Vincent Dauvissat, Chablis 1Er Cru, Vaillons"
"Granen","2023-09-29","2006","125","3000","Domaine Vincent Dauvissat, Chablis Grand Cru, Les Clos"
"Granen","2023-09-29","2015","125","1150","Domaine Emmanuel Rouget, Bourgogne Aligoté"
"Granen","2023-09-29","2015","125","1150","Domaine Emmanuel Rouget, Hautes-Côtes De Beaune"
"Granen","2023-09-29","2019","125","2600","Louis Jadot, Corton-Charlemagne Grand Cru"
"Granen","2023-09-29","2020","125","850","Domaine Pillot, Saint-Aubin 1Er Cru, Sentier Du Clou"
"Granen","2023-09-29","2020","125","900","Domaine Pillot, Chassagne-Montrachet"
"Granen","2023-09-29","2020","125","950","Domaine Pillot, Chassagne-Montrachet, Les Chênes"
"Granen","2023-09-29","2020","125","1150","Domaine Pillot, Chassagne-Montrachet 1Er Cru, Champgains"
"Granen","2023-09-29","2019","125","1100","Domaine Pillot, Chassagne-Montrachet 1Er Cru, Champgains"
"Granen","2023-09-29","2020","125","1050","Domaine Pillot, Puligny-Montrachet, Noyers Brets"
"Granen","2023-09-29","2019","125","1250","Domaine Pillot, Meursault 1Er Cru, Les Caillerets"
"Granen","2023-09-29","2018","1500","185000","Domaine De La Romanée-Conti, Montrachet Grand Cru, 37A"
"Granen","2023-09-29","2019","125","1750","Domaine Leflaive, Puligny-Montrachet"
"Granen","2023-09-29","2018","125","1700","Domaine Leflaive, Puligny-Montrachet"
"Granen","2023-09-29","2019","125","2250","Domaine Leflaive, Puligny-Montrachet 1Er Cru, Clavoillon"
"Granen","2023-09-29","2019","1500","1850","Domaine Rougeot, Bourgogne Blanc, Les Grandes Gouttes, G"
"Granen","2023-09-29","2019","1500","2700","Domaine Rougeot, Meursault 1Er Cru, Charmes, G"
"Granen","2023-09-29","2017","1500","2700","Domaine Rougeot, Meursault 1Er Cru, Charmes, G"
"Granen","2023-09-29","2019","500","395","Skepparps Vingård, Grand Prix, Solaris, G"
"Granen","2023-09-29","2019","1500","1200","Georg Breuer, Riesling, Estate Lorch, G"
"Granen","2023-09-29","2018","1500","1800","Juliane Eller, Juwel, Riesling, Frühmesse, G"
"Granen","2023-09-29","2019","1500","1600","Julie Balagny, Cayenne, G6"
"Granen","2023-09-29","2019","1500","1700","Julie Balagny, En Remont, G6"
"Granen","2023-09-29","2020","1500","1500","Jean Foillard, Morgon, Côte Du Py, G6"
"Granen","2023-09-29","2020","3000","3200","Jean Foillard, Morgon, Côte Du Py, G"
"Granen","2023-09-29","2018","1500","1550","Jean Foillard, Morgon, Côte Du Py, G6"
"Granen","2023-09-29","2020","1500","1500","Marcel Lapierre, Morgon, G8"
"Granen","2023-09-29","2019","1500","1500","Marcel Lapierre, Morgon, G8"
"Granen","2023-09-29","2018","1500","1700","Marcel Lapierre, Cuvée Camille, Morgon, G8"
"Granen","2023-09-29","2020","3000","2400","Marcel Lapierre, Raisin Gaulois, G"
"Granen","2023-09-29","2001","3000","6400","Château Poujeaux, Moulis-En-Médoc, G20"
"Granen","2023-09-29","2006","1500","62000","Château Petrus, Pomerol, 24D"
"Granen","2023-09-29","2019","1500","1200","Castellare Di Castellina, Chianti Classico, G13"
"Granen","2023-09-29","2018","1500","1400","Selvapiana, Chianti Rufina, G13"
"Granen","2023-09-29","2017","1500","2200","Tornesi, Brunello Di Montalcino, G13"
"Granen","2023-09-29","2016","1500","2750","Conti Costanti, Brunello Di Montalcino, G8"
"Granen","2023-09-29","1993","1500","4250","Frescobaldi, Brunello Di Montalcino Riserva, G8"
"Granen","2023-09-29","2008","1500","13800","Soldera, Case Basse, G11"
"Granen","2023-09-29","1971","5000","7500","Umberto Fiore, Spanna Riserva, Antica Borgata, Gattinara"
"Granen","2023-09-29","2012","1500","9250","Bartolo Mascarello, Barolo, 56A"
"Granen","2023-09-29","2008","1500","4100","Bruno Giacosa, Barbaresco, Asili, 8I"
"Granen","2023-09-29","2014","1500","10000","Bruno Giacosa, Barbaresco Riserva, Asili (Red Label), 8I"
"Granen","2023-09-29","2015","1500","3200","Cappellano, Barolo, Pie Rupestris, 24D"
"Granen","2023-09-29","2014","1500","3600","Cappellano, Barolo, Pie Rupestris, 24D"
"Granen","2023-09-29","2013","1500","4100","Cavallotto, Barolo Riserva, Bricco Boschis, 24B"
"Granen","2023-09-29","2013","3000","8200","Cavallotto, Barolo Riserva, Bricco Boschis"
"Granen","2023-09-29","2012","3000","6400","Cavallotto, Barolo Riserva, Bricco Boschis"
"Granen","2023-09-29","2018","1500","1800","Cascina Alberta, Barbaresco, Giacone, 24A"
"Granen","2023-09-29","2016","1500","2300","Elio Sandri, Barolo, Perno, 14I"
"Granen","2023-09-29","2016","1500","2750","Elio Sandri, Barolo Riserva, Perno, 14F"
"Granen","2023-09-29","2016","1500","3150","Elio Sandri, Barolo Riserva, Perno Vigna Disa, 14F"
"Granen","2023-09-29","2014","3000","23990","Gaja, Barbaresco, Sorì San Lorenzo"
"Granen","2023-09-29","2014","3000","23990","Gaja, Barbaresco, Sorì Tildin"
"Granen","2023-09-29","2011","1500","2950","Giacomo Conterno, Barbera D’Alba, Vigna Francia, 24D"
"Granen","2023-09-29","2013","1500","28000","Giacomo Conterno, Barolo Riserva, Monfortino, 5A"
"Granen","2023-09-29","2005","1500","29000","Giacomo Conterno, Barolo Riserva, Monfortino, 5B"
"Granen","2023-09-29","2015","1500","2100","Giacomo Fenocchio, Barolo, Villero, 24B"
"Granen","2023-09-29","2017","1500","1450","Giuseppe Cortese, Barbera D’Alba, Morassina, 55F"
"Granen","2023-09-29","2016","1500","1800","Luciano Sandrone, Nebbiolo D´Alba, Valmaggiore, 24B"
"Granen","2023-09-29","2013","1500","2700","Oddero, Barolo, Villero, 24B"
"Granen","2023-09-29","2016","1500","1950","Principiano, Barolo, Comune Di Serralunga D´Alba, 39A"
"Granen","2023-09-29","1996","3000","6400","Produttori Del Barbaresco, Barbaresco, G"
"Granen","2023-09-29","2014","1500","2250","Produttori Del Barbaresco, Barbaresco Riserva, Ovello, 24C"
"Granen","2023-09-29","2016","1500","2850","Produttori Del Barbaresco, Barbaresco Riserva, Rabaja, 24C"
"Granen","2023-09-29","2014","1500","2300","Produttori Del Barbaresco, Barbaresco Riserva, Rabaja, 24C"
"Granen","2023-09-29","2014","1500","2250","Produttori Del Barbaresco, Barbaresco Riserva, Montestefano, 24C"
"Granen","2023-09-29","2011","1500","3900","Piero Busso, Barbaresco, Albesani “Vv”, 38E"
"Granen","2023-09-29","2015","1500","4300","Roberto Voerzio, Barbera D´Alba, Pozzo Dell´ Annunziata, 24A"
"Granen","2023-09-29","2007","1500","3950","Roberto Voerzio, Barbera D´Alba Riserva, Pozzo Dell´ Annunziata, 24A"
"Granen","2023-09-29","2014","1500","4400","Roberto Voerzio, Barolo, Sarmassa, 24A"
"Granen","2023-09-29","2007","1500","4300","Roberto Voerzio, Barolo, Sarmassa, 24A"
"Granen","2023-09-29","2013","1500","6000","Roberto Voerzio, Barolo, Torriglione, 33E"
"Granen","2023-09-29","2016","1500","2600","Kutch, Pinot Noir, Mcdougall Ranch, Sonoma Coast, G8"
"Granen","2023-09-29","2016","1500","2600","Kutch, Pinot Noir, Falstaff Vineyard, Sonoma Coast, G8"
"Granen","2023-09-29","2019","1500","4850","Philip Togni, Cabernet Sauvignon, Philip Togni Vineyard, Napa Valley, G8"
"Granen","2023-09-29","2005","1500","3000","Joseph Phelps, Cabernet Sauvignon, Napa Valley, G8"
"Granen","2023-09-29","2002","1500","3000","Joseph Phelps, Cabernet Sauvignon, Napa Valley, G8"
"Granen","2023-09-29","2001","1500","3000","Joseph Phelps, Cabernet Sauvignon, Napa Valley, G8"
