"venue","update date","vintage","size","price","wine name"
"Green Acres","2023-11-02","-","125","9.5","Prosecco Superiore "Brut", San Fermo Bellenda, Italy, €"
"Green Acres","2023-11-02","NV","125","14","Champagne Lenoble "Brut Intense", A.R. Lenoble, Champagne, France, €"
"Green Acres","2023-11-02","-","125","6.5","Bordeaux Blanc (Sauvignon, Semillon), Chateau Grand Village, Bordeaux, France, €"
"Green Acres","2023-11-02","2021","125","8","Riesling "Trocken", Dr Burklin-Wolf, Pfalz, Germany, €"
"Green Acres","2023-11-02","2021","125","8.5","Gruner Veltliner "Terrassen", Weingut Brundlmayer, Kamptal Austria, €"
"Green Acres","2023-11-02","2018","125","9","Tokaji Dry Furmint "Mandolas", Oremus, Hungary, €"
"Green Acres","2023-11-02","2020","125","9","Petit Chablis, Pinson, Burgundy, France, €"
"Green Acres","2023-11-02","2021","125","9.5","Kerner, Pacher Hof, Alto Adige, Italy, €"
"Green Acres","2023-11-02","2021","125","7.5","Cotes-Du-Rhone, Saint Cosme, Rhone, France, €"
"Green Acres","2023-11-02","2019","125","8","Cahors " Cuvee Maurin", ( Malbec ), Domaine La Berangeraie, S.W. France, €"
"Green Acres","2023-11-02","2016","125","8","Valpolicella Ripasso, Speri, Veneto, Italy, €"
"Green Acres","2023-11-02","2020","125","9.5","Figuero 12, (Tempranillo), Ribera Del Duero, Spain, €"
"Green Acres","2023-11-02","2016","125","9.5","Chateau Grand Village, Guinadeau Bordeaux Superieur, France, €"
"Green Acres","2023-11-02","2020","125","9.5","Beaujolais, Jules Desjourneys, Burgundy, France, €"
"Green Acres","2023-11-02","2020","125","8.5","Rosato "Aurora", Poggerino, Tuscany, Italy, €"
"Green Acres","2023-11-02","-","125","9","Prosecco Mimosa, Prosecco, Orange Juice, €"
"Green Acres","2023-11-02","-","125","15","Champagne Mimosa, Champagne, Orange Juice, €"
"Green Acres","2023-11-02","-","125","10","Aperol Spritz, Aperol, Prosecco, Orange Slice, €"
"Green Acres","2023-11-02","-","125","10","Prosecco Royale, Prosecco, Creme De Cassis, €"
"Green Acres","2023-11-02","-","125","15","Kir Royale, Champagne, Creme De Cassis, €"
"Green Acres","2023-11-02","2005","70","6.5","Coteaux Du Layon, Chateau De La Rouleri, Loire, France, €"
"Green Acres","2023-11-02","2014","70","9","Carme De Rieussec, Sauternes, Bordeaux, France, €"
"Green Acres","2023-11-02","1999","70","9.5",""Don Px", Bodegas Toro Albala, Montilla-Moriles, Spain (Great With Chocolate , €"
"Green Acres","2023-11-02","-","70","9","Medium Dry Oloroso, Toro Albala, Montilla-Moriles, Spain, €"
"Green Acres","2023-11-02","2016","70","10","Cockburns L.B.V. Port, Portugal, €"
"Green Acres","2023-11-02","-","70","10","Madeira Verdelho 15 Years Old Henriques & Henriques, €"
"Green Acres","2023-11-02","2022","-","39","Gruner Veltliner, Pacher Hof, Alto Adige, Italy, €"
"Green Acres","2023-11-02","2018","-","45","Tokaji Dry Furmint ‘Mandolas’, Oremus, Hungary, €"
"Green Acres","2023-11-02","2021","-","48","Gewurztraminer, Pacher Hof, Alto Adige, Italy, €"
"Green Acres","2023-11-02","2006","-","48","Savigny Les Beaune 1Er Cru Les Vergelesses, Dom. Henri Boillot, Burgundy, France, €"
"Green Acres","2023-11-02","2020","-","55","Viognier "Le Pied De Samson", Domaine Georges Vernay, Northern Rhone, France, €"
"Green Acres","2023-11-02","2021","-","60","Santorini Familia, (Asassyrtiko), Hatzidakis, Santorini, Greece, €"
"Green Acres","2023-11-02","2018","-","60","Monthelie "Les Duresses", Benjamin Leroux, Burgundy, France, €"
"Green Acres","2023-11-02","2019","-","65","Saint-Peray "Les Figuieres", Domaine Bernard Gripa, Rhone, France, €"
"Green Acres","2023-11-02","2017","-","68","Bourgogne Blanc, Domaine Antoine Jobard, Burgundy, France, €"
"Green Acres","2023-11-02","2014","-","85","Riesling "Cuvee Frederic Emile", Maison Trimbach, Alsace, France, €"
"Green Acres","2023-11-02","2018","-","85","Gruner Veltliner 1Er Cru "Lamm", Weingut Brundlmayer, Austria, €"
"Green Acres","2023-11-02","2015","-","98","Chateauneuf Du Papes Blanc, Clos Des Papes, Southern Rhone, France, €"
"Green Acres","2023-11-02","2019","-","110","Condrieu "Les Terrasses De L'Empire", Domaine Georges Vernay, Rhone, France, €"
"Green Acres","2023-11-02","2018","-","140","Chassagne-Montrachet, Benoit Ente, Burgundy, France, €"
"Green Acres","2023-11-02","2019","-","45","Coteaux Bourguignons "Gamay Fin", Domaine Boris Champy, Burgundy, France, €"
"Green Acres","2023-11-02","2018","-","45","Zinfandel Di Manduria, Felline, Puglia, Italy, €"
"Green Acres","2023-11-02","2018","-","48","Syrah "Fleurs De Mai", Georges Vernay, Rhone, France, €"
"Green Acres","2023-11-02","2019","-","50","Rosso Di Montalcino, Le Ragnaie, Tuscany, Italy, €"
"Green Acres","2023-11-02","2010","-","55","Chateau D'Agassac, Cru Bourgeois, Haut- Medoc, Bordeaux, France, €"
"Green Acres","2023-11-02","2017","-","55","Vitola Rioja Reserva, Miguel Merino, Rioja Alta, Spain, €"
"Green Acres","2023-11-02","2012","-","55","Minervois "Les Fontanilles", Anne Gros Et Jean-Paul Tollot, Languedoc, France, €"
"Green Acres","2023-11-02","2020","-","58","Langhe Nebbiolo, Azienda Agricola La Lu, Piedmont, Italy, €"
"Green Acres","2023-11-02","2006","-","65","Beaune 1Er Cru “Domaine De Saux”, Domaine Germain, France, €"
"Green Acres","2023-11-02","2017","-","78","Chateau Lagrange A Pomerol, Pomerol, Bordeaux, France, €"
"Green Acres","2023-11-02","2017","-","95","Cote-Rotie "Ampodium", Domaine Rostaing, Rhone, France, €"
"Green Acres","2023-11-02","2017","-","95","Pintia, Tempos Vega Sicilia, Toro, Spain, €"
"Green Acres","2023-11-02","2013","-","98","Nuits St Georges 1Er Cru "Les Poisets", Domaine Hubert Lignier, Burgundy, France, €"
"Green Acres","2023-11-02","1996","-","125","Chateau La Dominique, Saint-Emilion Grand Cru, Bordeaux, France, €"
"Green Acres","2023-11-02","2014","-","130","Chateauneuf Du Pape, Clos Des Papes, Chateauneuf Du Pape, France, €"
"Green Acres","2023-11-02","2021","-","35","Moscato D Asti, Castello Di Neive, Piedmonte, Italy, €"
"Green Acres","2023-11-02","NV","-","40","1, 2 Champagne Lenoble Brut ‘Intense’, France, €"
"Green Acres","2023-11-02","-","-","49","Prosecco Superiore "Brut", San Fermo Bellenda, Italy, €"
"Green Acres","2023-11-02","-","-","66","Brundlmayer "Brut Rose" Langenlois, Austria, €"
"Green Acres","2023-11-02","NV","-","70","Champagne Lenoble Brut ‘Intense’, France, €"
"Green Acres","2023-11-02","NV","-","100","Champagne Lenoble Rose “Terroir De Chouilly”, France, €"
"Green Acres","2023-11-02","-","-","100","Champagne Vouette & Sorbee Cuvee "Fidele" (Pinot Noir) Brut Nature, €"
"Green Acres","2023-11-02","-","-","110","Champagne Clandestin "Les Grandes Lignes" (Chardonnay) Brut Nature, €"
"Green Acres","2023-11-02","-","-","125","Champagne Ruinart, Brut, €"
"Green Acres","2023-11-02","-","-","125","Champagne Lenoble Blanc De Blanc Extra Brut Grand Cru, Chouilly, €"
"Green Acres","2023-11-02","NV","-","375","Champagne Krug Rose, France, €"
"Green Acres","2023-11-02","-","1500","90","Prosecco Superiore "Brut", San Fermo Bellenda, Italy, €"
"Green Acres","2023-11-02","NV","1500","160","Champagne Lenoble Brut ‘Intense’, France, €"
"Green Acres","2023-11-02","2019","1500","85","Riesling "Wachenheim", Dr Burklin Wolf, Pfalz, Germany, €"
"Green Acres","2023-11-02","2019","1500","85","Bourgogne Aligote Dore, Domaine Bruno Champy, Burgundy, France, €"
"Green Acres","2023-11-02","2016","1500","83","Dry Furmint ‘Mandolas’, Oremus-Vega Sicilia, Hungary, €"
"Green Acres","2023-11-02","2020","1500","94","Kerner, Pacher Hof, Alto Adige, Italy, €"
"Green Acres","2023-11-02","2018","1500","110","Macon-Chardonnay "Clos De La Crochette", Les Heritiers Du Comte Lafon, Burgundy, €"
"Green Acres","2023-11-02","2019","1500","125","Gruner Veltliner "Langenloiser Alte Reben", Brundlmayer, Kamptal, Austria, €"
"Green Acres","2023-11-02","2019","1500","150","Sancerre "Les Monts Damnes", Fournier Pere Et Fils, Loire, France, €"
"Green Acres","2023-11-02","2018","1500","150","Chablis 1Er Cru"Montmain", Domaine Pinson, Burgundy, France, €"
"Green Acres","2023-11-02","2018","1500","600","Meursault "Clos De La Barre, Dom Des Comtes Lafon, Burgundy, France, €"
"Green Acres","2023-11-02","2020","1500","60","Cotes-Du Rhone, Saint Cosme, Rhone, France, €"
"Green Acres","2023-11-02","2018","1500","65","Cahors " Cuvee Maurin", ( Malbec ), Domaine La Berangeraie, S.W. France, €"
"Green Acres","2023-11-02","2020","1500","65","Tinto Figuero "4” Crianza, Ribera Del Duero, Spain, €"
"Green Acres","2023-11-02","2016","1500","68","Chateau Marjosse, Pierre Lurton, Bordeaux, France, €"
"Green Acres","2023-11-02","2014","1500","75","Chateau Morillon, Saint-Emilion Grand Cru, Bordeaux, France, €"
"Green Acres","2023-11-02","2018","1500","80","Tinto Figuero "12” Crianza, Ribera Del Duero, Spain, €"
"Green Acres","2023-11-02","2018","1500","85","Chianti Classico, Poggerino, Tuscany, Italy, €"
"Green Acres","2023-11-02","2019","1500","85","Coteaux Bourguignons "Gamay Fin", Domaine Boris Champy, Burgundy, France, €"
"Green Acres","2023-11-02","2019","1500","85","Rioja Vinas Jovenas, Miguel Merino, Rioja Alta, Spain, €"
"Green Acres","2023-11-02","2016","1500","85","Valpolicella Ripasso, Speri, Veneto, Italy, €"
"Green Acres","2023-11-02","2016","1500","100","Chateau Pindefleurs, Saint-Emilion Grand Cru, Bordeaux, France, €"
"Green Acres","2023-11-02","2018","1500","110","Rosso Di Montalcino, Le Ragnaie, Tuscany, Italy, €"
"Green Acres","2023-11-02","2015","1500","120","Vino Nobile Di Montepulciano "Mulinvecchio", Contucci, Tuscany, Italy, €"
